Classifier,Metaparameters,Word Representation,Preprocessing,F1 Score,Train Time,Test time
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.5131159645822873,0.0070002079010009766,0.6801207065582275
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.5171108868798985,0.007998466491699219,0.0855247974395752
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.5179208425032501,0.009000301361083984,0.46617841720581055
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.5194340859422382,0.00799870491027832,0.04500079154968262
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.4892143293523983,0.007998943328857422,0.49155664443969727
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.49417703772841576,0.00851297378540039,0.06799983978271484
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.496556383940076,0.0069997310638427734,0.462998628616333
KNNClassifier,"{n_neighbors: 3, weights: distance, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.49639307540767214,0.00800013542175293,0.042519330978393555
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.5180290764973284,0.00800013542175293,0.4845600128173828
KNNClassifier,"{n_neighbors: 7, weights: uniform, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.5245366951204851,0.007999181747436523,0.06600022315979004
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.5391949277559808,0.007506132125854492,0.4672071933746338
KNNClassifier,"{n_neighbors: 7, weights: distance, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.5398557387150191,0.007999897003173828,0.043527841567993164
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.5208358458426495,0.007999897003173828,0.4802975654602051
KNNClassifier,"{n_neighbors: 10, weights: uniform, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.536763699966813,0.008000850677490234,0.06850457191467285
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 1}",MeanEmbeddingMapper,DummyPreprocess,0.5298671751017247,0.008001565933227539,0.464552640914917
KNNClassifier,"{n_neighbors: 10, weights: distance, p: 2}",MeanEmbeddingMapper,DummyPreprocess,0.5386385583950309,0.008519649505615234,0.044991254806518555
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 1}",CountMeanEmbeddingMapper,DummyPreprocess,0.5332043195782462,0.00889444351196289,0.49955105781555176
KNNClassifier,"{n_neighbors: 5, weights: uniform, p: 2}",CountMeanEmbeddingMapper,DummyPreprocess,0.5029718770067859,0.008000373840332031,0.06699943542480469
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 1}",CountMeanEmbeddingMapper,DummyPreprocess,0.5351376450623392,0.009000062942504883,0.4723780155181885
KNNClassifier,"{n_neighbors: 5, weights: distance, p: 2}",CountMeanEmbeddingMapper,DummyPreprocess,0.49532968873449706,0.008006095886230469,0.0563809871673584
KNNClassifier,"{n_neighbors: 3, weights: uniform, p: 1}",CountMeanEmbeddingMapper,DummyPreprocess,0.5083237239491083,0.007999181747436523,0.47930431365966797
