Classifier,Metaparameters,Word Representation,Preprocessing,F1 Score,Train Time,Test time
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, None)], seed: 1}",ArrayEmbeddingMapper,DummyPreprocess,0.5704985520202335,27.225383758544922,0.5047769546508789
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, 'relu')], seed: 1}",ArrayEmbeddingMapper,DummyPreprocess,0.5812209832374354,26.302552461624146,0.4736027717590332
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu')], seed: 1}",ArrayEmbeddingMapper,DummyPreprocess,0.5806434502604559,26.481440782546997,0.4519374370574951
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu'), (100, 'relu'), (100, 'relu')], seed: 1}",ArrayEmbeddingMapper,DummyPreprocess,0.5802569085906324,27.73396110534668,0.4624154567718506
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, None)], seed: 1}",ArrayEmbeddingMapper,AllPreprocess,0.558644673668689,25.67330002784729,0.15605759620666504
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, 'relu')], seed: 1}",ArrayEmbeddingMapper,AllPreprocess,0.5627324241047648,25.237553119659424,0.16907858848571777
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu')], seed: 1}",ArrayEmbeddingMapper,AllPreprocess,0.5777758826728387,25.815933227539062,0.20111870765686035
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu'), (100, 'relu'), (100, 'relu')], seed: 1}",ArrayEmbeddingMapper,AllPreprocess,0.5773103424748887,26.778053045272827,0.16255640983581543
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, None)], seed: 1}",ArrayEmbeddingMapper,StopWordsPreprocess,0.582857385915505,25.887775659561157,0.1725175380706787
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, 'relu')], seed: 1}",ArrayEmbeddingMapper,StopWordsPreprocess,0.5667159106453618,26.421808004379272,0.17830848693847656
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu')], seed: 1}",ArrayEmbeddingMapper,StopWordsPreprocess,0.5869231577840849,25.574628114700317,0.1952533721923828
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu'), (100, 'relu'), (100, 'relu')], seed: 1}",ArrayEmbeddingMapper,StopWordsPreprocess,0.5719227837013289,26.199103593826294,0.16356420516967773
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, None)], seed: 1}",ArrayEmbeddingMapper,Tarea1Preprocess,0.5506240082483097,25.06116819381714,0.1787858009338379
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(50, 'relu')], seed: 1}",ArrayEmbeddingMapper,Tarea1Preprocess,0.5826687252706118,25.315013647079468,0.1736893653869629
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu')], seed: 1}",ArrayEmbeddingMapper,Tarea1Preprocess,0.5810317846679912,25.872222661972046,0.20772671699523926
LSTMClassifier,"{sequence_length: 9, embedding_length: 300, lstm_layers: [(50, 'tanh', 'sigmoid')], dense_layers: [(100, 'relu'), (100, 'relu'), (100, 'relu')], seed: 1}",ArrayEmbeddingMapper,Tarea1Preprocess,0.5672838409483815,26.175662755966187,0.16913580894470215
