strategy,seed,iterations,depth,score_avg,cant_mov_avg,win_rate,lost_with_1024_rate,time_avg
random,265,100,-,989.56,103.2,0,0,0.005780000000000003
random,385,100,-,986.48,103.4,0,0,0.006480000000000003
random,550,100,-,936.8,100.26,0,0,0.004370000000000002
random,239,100,-,1034.96,107.36,0,0,0.005630000000000004
random,748,100,-,998.64,105.16,0,0,0.0056400000000000035
random,909,100,-,1046.12,107.92,0,0,0.004870000000000004
random,888,100,-,978.24,102.1,0,0,0.005370000000000003
random,68,100,-,1026.96,107.56,0,0,0.01187999999999998
random,432,100,-,901.04,98.56,0,0,0.004780000000000004
random,919,100,-,994.92,105.26,0,0,0.004820000000000003
dummy,265,100,-,3133.12,243.14,0,0.01,0.015309999999999992
dummy,385,100,-,3141.64,246.63,0,0,0.015679999999999982
dummy,550,100,-,2894.52,228.64,0,0.01,0.01310999999999999
dummy,239,100,-,2849.48,226.39,0,0,0.01593999999999998
dummy,748,100,-,3087.12,242.42,0,0,0.012839999999999996
dummy,909,100,-,2689.08,219.52,0,0,0.010660000000000005
dummy,888,100,-,3129.04,244.63,0,0.01,0.01630999999999998
dummy,68,100,-,3178.16,246.31,0,0,0.017569999999999978
dummy,432,100,-,3277.84,251.52,0,0,0.013609999999999997
dummy,919,100,-,2887.56,231.98,0,0,0.011809999999999998
minimax,265,100,3,16016.76,806.25,0.41,0.7966101694915254,6.358889999999998
minimax,385,100,3,16252.12,820.26,0.4,0.8666666666666667,6.376339999999999
minimax,550,100,3,15712.16,793.04,0.41,0.7457627118644068,6.3185199999999995
minimax,239,100,3,16199.16,821.99,0.38,0.7903225806451613,6.689209999999998
minimax,748,100,3,16504.04,829.77,0.44,0.75,6.791129999999999
minimax,909,100,3,16218.68,816.25,0.42,0.8275862068965517,6.821490000000004
minimax,888,100,3,16621.52,824.43,0.47,0.8490566037735849,6.832220000000002
minimax,68,100,3,16196.8,819.27,0.39,0.8360655737704918,6.953219999999998
minimax,432,100,3,15675.4,799.69,0.35,0.8461538461538461,6.740960000000001
minimax,919,100,3,16001.2,804.37,0.43,0.7719298245614035,5.75718
minimax,265,100,2,12836.04,716.74,0.12,0.5,0.9661999999999997
minimax,385,100,2,12448.2,698.09,0.11,0.5617977528089888,0.8965199999999999
minimax,550,100,2,12068.68,686.19,0.06,0.6170212765957447,0.9117399999999997
minimax,239,100,2,12561.44,707.82,0.09,0.5714285714285714,0.9378799999999998
minimax,748,100,2,11911.64,686.02,0.04,0.53125,0.92173
minimax,909,100,2,13182,729.76,0.14,0.5930232558139535,1.1010300000000002
minimax,888,100,2,12092.12,683.4,0.09,0.5384615384615384,1.00265
minimax,68,100,2,11898.56,672.38,0.07,0.6021505376344086,0.9494899999999998
minimax,432,100,2,13139.56,722.8,0.15,0.5882352941176471,1.0181300000000002
minimax,919,100,2,11767.48,674.63,0.07,0.4731182795698925,1.1262799999999993
minimax,265,100,1,6121.76,407.1,0,0.1,0.08762000000000005
minimax,385,100,1,6918.68,452.32,0,0.16,0.09863999999999999
minimax,550,100,1,6684.68,440.83,0,0.1,0.09019000000000002
minimax,239,100,1,6453.08,425.95,0,0.13,0.09749000000000002
minimax,748,100,1,7217.28,467.29,0,0.16,0.09550000000000004
minimax,909,100,1,6786,447.31,0,0.11,0.12628999999999999
minimax,888,100,1,7120.48,459.1,0.01,0.13131313131313133,0.09343000000000004
minimax,68,100,1,6724.96,439.82,0.01,0.10101010101010101,0.09199999999999997
minimax,432,100,1,7338.52,471.41,0.01,0.16161616161616163,0.09638
minimax,919,100,1,6633.04,437.65,0.01,0.0707070707070707,0.11707000000000001
